,current_coverage,iter,instant_regret,regret,idx_agent0,idx_agent1,idx_agent2,idx_measure0,idx_measure1,idx_measure2,opt_coverage,opt_idx_agent0,opt_idx_agent1,opt_idx_agent2
0,62.292579650878906,0,38.71540069580078,38.71540069580078,88,102,113,88,102,113,101.00798034667969,44,116,113
1,71.17306518554688,1,29.834915161132812,68.5503158569336,98,92,114,109,83,125,101.00798034667969,44,116,113
2,71.71882629394531,2,29.289154052734375,97.83946990966797,108,82,104,119,73,95,101.00798034667969,44,116,113
3,73.58757019042969,3,27.42041015625,125.25988006591797,118,72,94,129,61,84,101.00798034667969,44,116,113
4,76.5679702758789,4,24.44001007080078,149.69989013671875,117,62,84,128,51,74,101.00798034667969,44,116,113
5,78.77429962158203,5,22.233680725097656,171.9335708618164,116,52,74,127,41,63,101.00798034667969,44,116,113
6,83.23605346679688,6,17.771926879882812,189.70549774169922,116,42,64,127,31,53,101.00798034667969,44,116,113
7,88.10173797607422,7,12.906242370605469,202.6117401123047,116,32,54,127,21,43,101.00798034667969,44,116,113
8,89.672119140625,8,11.335861206054688,213.94760131835938,116,22,44,127,11,33,101.00798034667969,44,116,113
9,87.29067993164062,9,13.717300415039062,227.66490173339844,116,12,34,127,1,23,101.00798034667969,44,116,113
10,84.18911743164062,10,16.818862915039062,244.4837646484375,116,11,24,127,0,13,101.00798034667969,44,116,113
11,82.69402313232422,11,18.31395721435547,262.79772186279297,116,11,14,127,0,3,101.00798034667969,44,116,113
12,81.38652801513672,12,19.62145233154297,282.41917419433594,106,21,24,107,30,15,101.00798034667969,44,116,113
13,78.95623016357422,13,22.05175018310547,304.4709243774414,96,22,34,107,32,25,101.00798034667969,44,116,113
14,73.9080810546875,14,27.099899291992188,331.5708236694336,86,23,35,76,14,26,101.00798034667969,44,116,113
15,75.00534057617188,15,26.002639770507812,357.5734634399414,76,24,45,67,15,36,101.00798034667969,44,116,113
16,65.84397888183594,16,35.16400146484375,392.73746490478516,66,25,55,57,16,46,101.00798034667969,44,116,113
17,61.13926696777344,17,39.86871337890625,432.6061782836914,56,26,65,47,17,56,101.00798034667969,44,116,113
18,58.777069091796875,18,42.23091125488281,474.8370895385742,46,36,75,37,27,66,101.00798034667969,44,116,113
19,60.39739227294922,19,40.61058807373047,515.4476776123047,36,46,85,27,37,76,101.00798034667969,44,116,113
20,70.1318359375,20,30.876144409179688,546.3238220214844,37,46,95,28,37,106,101.00798034667969,44,116,113
21,74.66728973388672,21,26.34069061279297,572.6645126342773,27,46,105,18,37,106,101.00798034667969,44,116,113
22,81.46575164794922,22,19.54222869873047,592.2067413330078,28,46,115,19,37,106,101.00798034667969,44,116,113
23,80.3388671875,23,20.669113159179688,612.8758544921875,18,46,115,9,37,106,101.00798034667969,44,116,113
24,75.33367919921875,24,25.674301147460938,638.5501556396484,19,56,114,29,55,123,101.00798034667969,44,116,113
25,71.64671325683594,25,29.36126708984375,667.9114227294922,29,66,104,39,55,104,101.00798034667969,44,116,113
26,63.94856262207031,26,37.059417724609375,704.9708404541016,39,76,94,49,87,104,101.00798034667969,44,116,113
27,50.537601470947266,27,50.47037887573242,755.441219329834,49,75,84,59,65,93,101.00798034667969,44,116,113
28,32.40755081176758,28,68.60042953491211,824.0416488647461,59,74,74,59,65,65,101.00798034667969,44,116,113
29,50.92772674560547,29,50.08025360107422,874.1219024658203,69,84,64,59,93,55,101.00798034667969,44,116,113
30,66.56535339355469,30,34.442626953125,908.5645294189453,79,94,54,69,104,55,101.00798034667969,44,116,113
31,73.23748779296875,31,27.770492553710938,936.3350219726562,89,104,44,79,104,55,101.00798034667969,44,116,113
32,78.00860595703125,32,22.999374389648438,959.3343963623047,99,114,44,89,123,55,101.00798034667969,44,116,113
33,81.70027160644531,33,19.307708740234375,978.6421051025391,109,114,44,99,123,55,101.00798034667969,44,116,113
34,85.10095977783203,34,15.907020568847656,994.5491256713867,119,114,44,118,123,55,101.00798034667969,44,116,113
35,80.31639099121094,35,20.69158935546875,1015.2407150268555,129,114,44,118,123,55,101.00798034667969,44,116,113
36,88.91682434082031,36,12.091156005859375,1027.3318710327148,128,114,44,118,123,55,101.00798034667969,44,116,113
37,90.33901977539062,37,10.668960571289062,1038.000831604004,127,114,44,118,123,55,101.00798034667969,44,116,113
38,82.87792205810547,38,18.13005828857422,1056.1308898925781,126,114,44,115,123,55,101.00798034667969,44,116,113
39,74.2774887084961,39,26.730491638183594,1082.8613815307617,125,114,44,124,123,55,101.00798034667969,44,116,113
40,66.83480834960938,40,34.17317199707031,1117.034553527832,124,114,44,123,123,55,101.00798034667969,44,116,113
41,74.57198333740234,41,26.435997009277344,1143.4705505371094,123,114,44,122,123,55,101.00798034667969,44,116,113
42,80.37445831298828,42,20.633522033691406,1164.1040725708008,122,114,44,121,123,55,101.00798034667969,44,116,113
43,83.80207824707031,43,17.205902099609375,1181.3099746704102,121,114,44,120,123,55,101.00798034667969,44,116,113
44,90.05805206298828,44,10.949928283691406,1192.2599029541016,111,114,44,120,123,55,101.00798034667969,44,116,113
45,83.71438598632812,45,17.293594360351562,1209.5534973144531,101,115,54,90,126,44,101.00798034667969,44,116,113
